Fecha,Descripción,Documento,Información adicional,Valor,
2026-03-23,INTERNET - DB TRANSFEREN OTRA CUENTA,95575884,,-1000000
2026-03-22,RESTREPO VALVANERA - DEBITO TRANSFERENCIAS LLAVES,0414P2P0,,-34600
2026-03-22,INTERNET - TRASLADO A OTRA ENTIDAD,20043855,,-160000
2026-03-22,INTERNET - COMPRA ESTABLECIMIENTO INTERNE,07617211,,-5000
2026-03-21,RESTREPO VALVANERA - DB PAGO QR,2889P2M0,,-60000
2026-03-21,RESTREPO VALVANERA - DB PAGO QR,3928P2M0,,-14000
2026-03-21,RESTREPO VALVANERA - DB PAGO QR,1182P2M0,,-62800
2026-03-20,ACH - TRANSFERENCIA OTRA ENTIDAD,94620925,000000900475780  PAGOS     000000000000000000000000  UNIDAD NACIONAL D,1555820
2026-03-20,RESTREPO VALVANERA - ABONO TRANSFERENCIAS LLAVES,0150P2P0,,36000
2026-03-18,ASCREDIBANCO - COMPRA EN CANAL ELECTRONICO,,OXXO RESERVA DEL CEDROBOGOTA          COTD*2300,-5300
2026-03-18,INTERNET - COMPRA INTERNET,2112861,500140845                   Pago de factura Postpago,-44600.9
2026-03-17,ASCREDIBANCO - COMPRA EN CANAL ELECTRONICO,,TIENDA D1 SAN CRISTOBABOGOTA          COTD*2300,-7950
2026-03-13,ASCREDIBANCO - COMPRA EN CANAL ELECTRONICO,,TIENDA D1 SAN CRISTOBABOGOTA          COTD*2300,-12970
2026-03-12,QUIROGA - RETIRO RED PROPIA,21968060,TD*2300,-190000
2026-03-12,INTERNET - COMPRA INTERNET,4139784,13127392                    Dep sito a Daviplata por PSE,-650800
2026-03-11,RESTREPO VALVANERA - DEBITO TRANSFERENCIAS LLAVES,4314P2P0,,-30000
2026-03-11,RESTREPO VALVANERA - DEBITO TRANSFERENCIAS LLAVES,4871P2P0,,-38700
2026-03-10,INTERNET - COMPRA INTERNET,0701743,177319630171603             IGLESIA DE DIOS MINISTERIAL DE JESUCRISTO,-388650
2026-03-10,RESTREPO VALVANERA - DEBITO TRANSFERENCIAS LLAVES,1215P2P0,,-1446100
2026-03-10,ASCREDIBANCO - COMPRA EN CANAL ELECTRONICO,,HORNITOS AMERICAS     BOGOTA          COTD*2300,-16900
2026-03-10,RESTREPO VALVANERA - DEBITO TRANSFERENCIAS LLAVES,4123P2P0,,-35000
2026-03-10,ACH - TRANSFERENCIA OTRA ENTIDAD,92791012,000000900475780  PAGOS     000000000000000000000000  UNIDAD NACIONAL D,3886094
2026-03-09,APP MOBILE - ENVIADO HACIA CUENTA,12345678,,-10000
2026-03-09,APP MOBILE - TRASLADO DESDE BOLSILLO,12345678,,10000
2026-03-09,RESTREPO VALVANERA - ABONO TRANSFERENCIAS LLAVES,1981P2P0,,20000
2026-03-09,RESTREPO VALVANERA - DEBITO TRANSFERENCIAS LLAVES,5782P2P0,,-80000
2026-03-08,RESTREPO VALVANERA - DEBITO TRANSFERENCIAS LLAVES,0515P2P0,,-20000
2026-03-08,RESTREPO VALVANERA - DEBITO TRANSFERENCIAS LLAVES,4015P2P0,,-2700
2026-03-08,ASCREDIBANCO - COMPRA EN CANAL ELECTRONICO,,TIENDAS ARA           BOGOTA          COTD*2300,-2790
2026-03-07,RESTREPO VALVANERA - DEBITO TRANSFERENCIAS LLAVES,0383P2P0,,-487000
2026-03-07,ASCREDIBANCO - COMPRA EN CANAL ELECTRONICO,,TIENDA D1 SAN CRISTOBABOGOTA          COTD*2300,-6390
2026-03-07,INTERNET - COMPRA INTERNET,0793310,13080236                    Dep sito a Daviplata por PSE,-482650
2026-03-06,INTERNET - COMPRA INTERNET,7722860,177277135331709             IGLESIA DE DIOS MINISTERIAL DE JESUCRISTO,-272500
2026-03-06,ASCREDIBANCO - COMPRA EN CANAL ELECTRONICO,,AGENCIA 44            BOGOTA          COTD*2300,-11250
2026-03-06,INTERNET - COMPRA INTERNET,8641888,56347123                    MiPlanilla com Pago Proteccion Social,-543400
2026-03-06,RESTREPO VALVANERA - DEBITO TRANSFERENCIAS LLAVES,4328P2P0,,-519000
2026-03-06,INTERNET - COMPRA INTERNET,8129445,184721772804891789          Recarga Nequi PSE,-280000
2026-03-05,DEBITO AUTOMATICO - TRASLADO HACIA BOLSILLO,12345678,,-5000
